,Name,Team,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,ID,WAR
473,Marco Gonzales,SEA,28,"Fort Collins, CO",USA,,,Gonzaga,,,594835,3.5500000000000003
741,Trey Mancini,BAL,28,"Winter Haven, FL",USA,,,Notre Dame,,,641820,3.49
256,Michael Conforto,NYM,27,"Seattle, WA",USA,,,Oregon State,,,624424,3.4
762,J.D. Martinez,BOS,32,"Miami, FL",USA,,,Nova Southeastern,,,502110,3.37
1347,Brandon Woodruff,MIL,27,"Tupelo, MS",USA,,,Mississippi State,,,605540,3.34
1256,Trea Turner,WAS,26,"Boynton Beach, FL",USA,,,North Carolina State,,,607208,3.3
338,Hunter Dozier,KC,28,"Wichita Falls, TX",USA,,,Stephen F. Austin State,,,641531,3.24
1348,Brandon Workman,BOS,31,"Arlington, TX",USA,,,Texas,,,519443,3.18
860,Kevin Newman,PIT,26,"Poway, CA",USA,,,Arizona,,,621028,3.12
391,Mike Fiers,OAK,34,"Hollywood, FL",USA,,,Nova Southeastern,,,571666,3.04
1076,Jeff Samardzija,SF,35,"Merrillville, IN",USA,,,Notre Dame,,,502188,3.04
1300,Christian Walker,ARI,29,"Norristown, PA",USA,,,South Carolina,,,572233,2.98
190,Lorenzo Cain,MIL,34,"Valdosta, GA",USA,,,Tallahassee CC,,,456715,2.97
1359,Kirby Yates,SD,33,"Lihue, HI",USA,,,Yavapai College,,,489446,2.96
176,Aaron Bummer,CWS,26,"Valencia, CA",USA,,,Nebraska,,,607481,2.88
665,Scott Kingery,PHI,25,"Phoenix, AZ",USA,,,Arizona,,,664068,2.78
1106,Kyle Seager,SEA,32,"Charlotte, NC",USA,,,North Carolina,,,572122,2.78
1001,Hunter Renfroe,TB,28,"Crystal Springs, MS",USA,,,Mississippi State,,,592669,2.71
846,Tom Murphy,SEA,29,"West Monroe, NY",USA,,,SUNY Buffalo,,,608596,2.66
1153,Eric Sogard,MIL,33,"Phoenix, AZ",USA,,,Arizona State,,,519299,2.5999999999999996
206,Andrew Cashner,BOS,33,"Conroe, TX",USA,,,Texas Christian,,,488768,2.56
710,Evan Longoria,SF,34,"Downey, CA",USA,,,Long Beach State,,,446334,2.53
655,Howie Kendrick,WAS,36,"Jacksonville, FL",USA,,,St. Johns River State College,,,435062,2.53
1043,Taylor Rogers,MIN,29,"Littleton, CO",USA,,,Kentucky,,,573124,2.51
309,Anthony DeSclafani,CIN,29,"Freehold, NJ",USA,,,Florida,,,543101,2.46
460,Ken Giles,TOR,29,"Albuquerque, NM",USA,,,Yavapai College,,,571704,2.45
488,Yasmani Grandal,CWS,31,Havana,Cuba,,,Miami (FL),,,518735,2.44
468,Paul Goldschmidt,STL,32,"Wilmington, DE",USA,,,Texas State,,,502671,2.43
661,Kevin Kiermaier,TB,29,"Fort Wayne, IN",USA,,,Parkland College,,,595281,2.38
876,Scott Oberg,COL,30,"Tewksbury, MA",USA,,,Connecticut,,,623184,2.3600000000000003
717,Michael Lorenzen,CIN,28,"Anaheim, CA",USA,,,Cal State Fullerton,,,547179,2.36
1075,Chris Sale,BOS,31,"Lakeland, FL",USA,,,Florida Gulf Coast,,,519242,2.35
191,Kole Calhoun,ARI,32,"Buckeye, AZ",USA,,,Arizona State,,,594777,2.35
909,James Paxton,NYY,31,"Ladner, BC",Canada,,,Kentucky,,,572020,2.32
900,Emilio Pagán,SD,28,"Simpsonville, SC",USA,,,Belmont Abbey,,,641941,2.2800000000000002
1254,Spencer Turnbull,DET,27,"Demopolis, AL",USA,,,Alabama,,,605513,2.2600000000000002
896,Adam Ottavino,NYY,34,"New York, NY",USA,,,Northeastern,,,493603,2.26
1145,Will Smith,ATL,30,"Newnan, GA",USA,,,Gulf Coast CC,,,519293,2.24
480,Brian Goodwin,LAA,29,"Rocky Mount, NC",USA,,,Miami Dade CC,,,571718,2.21
76,Harrison Bader,STL,25,"Bronxville, NY",USA,,,Florida,,,664056,2.1
495,Shane Greene,ATL,31,"Clermont, FL",USA,,,Daytona State,,,572888,2.08
130,Charlie Blackmon,COL,33,"Dallas, TX",USA,,,Georgia Tech,,,453568,2.08
1100,Kyle Schwarber,CHC,27,"Middletown, OH",USA,,,Indiana,,,656941,2.06
1023,Tanner Roark,TOR,33,"Wilmington, IL",USA,,,Illinois,,,543699,2.04
411,Adam Frazier,PIT,28,"Athens, GA",USA,,,Mississippi State,,,624428,2.01
729,Jordan Luplow,CLE,26,"Visalia, CA",USA,,,Fresno State,,,656669,2.0
174,Walker Buehler,LAD,25,"Lexington, KY",USA,,,Vanderbilt,,,621111,1.99
659,Dallas Keuchel,CWS,32,"Tulsa, OK",USA,,,Arkansas,,,572971,1.96
602,Daniel Hudson,WAS,33,"Lynchburg, VA",USA,,,Old Dominion,,,543339,1.96
1127,Andrelton Simmons,LAA,30,Mundo-Novo,Curacao,,,Western Oklahoma State College,,,592743,1.94
538,Will Harris,WAS,35,"Houston, TX",USA,,,Louisiana State,,,501789,1.94
239,Steve Cishek,CWS,33,"Falmouth, MA",USA,,,Carson-Newman,,,518553,1.8699999999999999
