,Name,Team,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,ID,WAR
135,Xander Bogaerts,BOS,27,Oranjestad,Aruba,12.5092044,-70.0086306,,,,593428,5.88
394,Jack Flaherty,STL,24,"Burbank, CA",USA,34.1808392,-118.3089661,,,,656427,5.819999999999999
463,Lucas Giolito,CWS,25,"Santa Monica, CA",USA,34.0194543,-118.4911912,,,,608337,5.74
1095,Max Scherzer,WAS,35,"St. Louis, MO",USA,38.6270025,-90.19940419999999,Missouri,,,453286,5.72
3,Ronald Acuña Jr.,ATL,22,La Guaira,Venezuela,10.6024787,-66.9313444,,,,660670,5.7
841,Max Muncy,LAD,29,"Midland, TX",USA,31.9973456,-102.0779146,Baylor,,,571970,5.68
492,Sonny Gray,CIN,30,"Nashville, TN",USA,36.1626638,-86.7816016,Vanderbilt,,,543243,5.57
1159,Mike Soroka,ATL,22,"Calgary, AB",Canada,51.04473309999999,-114.0718831,,,,647336,5.5200000000000005
638,Aaron Judge,NYY,27,"Linden, CA",USA,38.0213118,-121.0838313,Fresno State,,,592450,5.5
885,Matt Olson,OAK,26,"Atlanta, GA",USA,33.7489954,-84.3879824,,,,621566,5.4
261,Patrick Corbin,WAS,30,"Clay, NY",USA,43.1856814,-76.1717547,Chipola Junior College,,,571578,5.35
302,Paul DeJong,STL,26,"Orlando, FL",USA,28.5383355,-81.3792365,Illinois State,,,657557,5.34
1344,Kolten Wong,STL,29,"Hilo, HI",USA,19.7241106,-155.0868193,Hawaii,,,543939,5.19
19,Ozzie Albies,ATL,23,Willemstad,Curacao,12.1224221,-68.8824233,,,,645277,5.17
34,Pete Alonso,NYM,25,"Tampa, FL",USA,27.950575,-82.4571776,,,,624413,5.17
1068,Hyun-Jin Ryu,TOR,33,Incheon,South Korea,37.4562557,126.7052062,,,,547943,5.029999999999999
702,Francisco Lindor,CLE,26,Caguas,Puerto Rico,18.2387995,-66.035249,,,,596019,5.0
794,John Means,BAL,26,"Olathe, KS",USA,38.8813958,-94.81912849999999,,,,607644,4.9799999999999995
315,Rafael Devers,BOS,23,Sanchez,Dominican Republic,19.2293367,-69.6125192,,,,646240,4.94
791,Jeff McNeil,NYM,28,"Santa Barbara, CA",USA,34.4208305,-119.6981901,Long Beach State,,,643446,4.89
838,Charlie Morton,TB,36,"Flemington, NJ",USA,40.5123258,-74.85933179999999,,,,450203,4.87
