,Unnamed: 0,Name,Age,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng,Height (in),Ability Score
245,245,Andrew Harrison,25,"San Antonio, TX",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'4""",2.0
246,246,Andrew Harrison,25,"San Antonio, TX",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'4""",8.1
247,247,Andrew Harrison,25,"San Antonio, TX",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'4""",3.5
249,249,Josh Hart,25,"Silver Spring, MD",USA,,,Villanova University,40.0378952,-75.34333149999999,"6'5""",14.5
251,251,Udonis Haslem,39,"Miami, FL",USA,,,University of Florida,29.6436325,-82.3549302,"6'8""",5.4
252,252,Gordon Hayward,30,"Indianapolis, IN",USA,,,Butler University,39.8405491,-86.1708927,"6'7""",20.5
253,253,John Henson,29,"Greensboro, NC",USA,,,University of North Carolina,35.9049122,-79.0469134,"6'9""",13.0
257,257,Isaiah Hicks,25,"Oxford, NC",USA,,,University of North Carolina,35.9049122,-79.0469134,"6'9""",8.3
258,258,Buddy Hield,27,Freeport,Bahamas,,,University of Oklahoma,35.2058936,-97.4457137,"6'4""",29.3
261,261,George Hill,33,"Indianapolis, IN",USA,,,Indiana University-Purdue University Indianapolis,39.7743174,-86.1764194,"6'3""",16.8
262,262,George Hill,33,"Indianapolis, IN",USA,,,Indiana University-Purdue University Indianapolis,39.7743174,-86.1764194,"6'3""",12.5
263,263,Solomon Hill,29,"Los Angeles, CA",USA,,,University of Arizona,32.2318851,-110.9501094,"6'6""",9.2
265,265,Jrue Holiday,29,"Chatsworth, CA",USA,,,"University of California, Los Angeles",34.068921,-118.4451811,"6'3""",36.3
266,266,Justin Holiday,31,"Mission Hills, CA",USA,,,University of Washington,47.6912794,-122.3176141,"6'6""",20.6
267,267,Justin Holiday,31,"Mission Hills, CA",USA,,,University of Washington,47.6912794,-122.3176141,"6'6""",15.9
268,268,John Holland,31,"Bronx, NY",USA,,,Boston University,42.3504997,-71.1053991,"6'5""",0.0
269,269,Rondae Hollis-Jefferson,25,"Chester, PA",USA,,,University of Arizona,32.2318851,-110.9501094,"6'6""",17.0
270,270,Richaun Holmes,26,"Lockport, IL",USA,,,Bowling Green State University,41.3797788,-83.6300826,"6'10""",15.499999999999998
271,271,Rodney Hood,27,"Meridian, MS",USA,,,Duke University,36.0014258,-78.9382286,"6'8""",17.6
272,272,Rodney Hood,27,"Meridian, MS",USA,,,Duke University,36.0014258,-78.9382286,"6'8""",13.5
273,273,Al Horford,33,Puerto Plata,Dominican Republic,,,University of Florida,29.6436325,-82.3549302,"6'9""",26.6
274,274,Danuel House Jr.,26,"Houston, TX",USA,,,Texas A&M University,30.6187558,-96.33647719999999,"6'6""",14.8
278,278,RJ Hunter,26,"Oxford, OH",USA,,,Georgia State University,33.753068,-84.38528190000001,,24.0
281,281,Andre Iguodala,36,"Springfield, IL",USA,,,University of Arizona,32.2318851,-110.9501094,"6'6""",14.300000000000002
285,285,Brandon Ingram,22,"Kinston, NC",USA,,,Duke University,36.0014258,-78.9382286,"6'7""",27.6
286,286,Kyrie Irving,28,Melbourne,Australia,,,Duke University,36.0014258,-78.9382286,"6'2""",37.8
287,287,Jonathan Isaac,22,"New York, NY",USA,,,Florida State University,30.4418778,-84.2984889,"6'11""",18.3
288,288,Wes Iwundu,25,"Houston, TX",USA,,,Kansas State University,39.1974437,-96.5847249,"6'6""",9.500000000000002
289,289,Demetrius Jackson,25,"South Bend, IN",USA,,,University of Notre Dame,41.7055716,-86.2353388,"6'1""",5.3
290,290,Frank Jackson,21,"Washington, DC",USA,,,Duke University,36.0014258,-78.9382286,"6'3""",11.8
291,291,Josh Jackson,23,"San Diego, CA",USA,,,University of Kansas,38.9543439,-95.2557961,"6'8""",19.8
292,292,Justin Jackson,23,"Houston, TX",Canada,,,Maryland,39.0457549,-76.64127119999999,"6'7""",11.4
293,293,Justin Jackson,23,"Houston, TX",Canada,,,Maryland,39.0457549,-76.64127119999999,"6'7""",11.8
294,294,Reggie Jackson,30,Pordenone,USA,,,Boston College,42.3355488,-71.16849450000001,"6'3""",23.0
297,297,Amile Jefferson,26,"Philadelphia, PA",USA,,,Duke University,36.0014258,-78.9382286,"6'9""",4.6000000000000005
298,298,John Jenkins,29,"Nashville, TN",USA,,,Vanderbilt University,36.1447034,-86.8026551,,1.9
299,299,John Jenkins,29,"Nashville, TN",USA,,,Vanderbilt University,36.1447034,-86.8026551,,7.9
305,305,James Johnson,33,"Cheyenne, WY",USA,,,Wake Forest,36.1355052,-80.2791958,"6'7""",14.6
306,306,Stanley Johnson,23,"Los Angeles, CA",USA,,,University of Arizona,32.2318851,-110.9501094,"6'6""",13.6
307,307,Stanley Johnson,23,"Los Angeles, CA",USA,,,University of Arizona,32.2318851,-110.9501094,"6'6""",9.999999999999998
308,308,Tyler Johnson,27,"Grand Forks, ND",USA,,,"California State University, Fresno",36.8133631,-119.7460947,"6'3""",17.4
309,309,Tyler Johnson,27,"Grand Forks, ND",USA,,,"California State University, Fresno",36.8133631,-119.7460947,"6'3""",20.9
310,310,Wesley Johnson,32,"Corsicana, TX",USA,,,Syracuse University,43.0391534,-76.1351158,"6'7""",7.2
311,311,Wesley Johnson,32,"Corsicana, TX",USA,,,Syracuse University,43.0391534,-76.1351158,"6'7""",5.5
313,313,Damian Jones,24,"Baton Rouge, LA",USA,,,Vanderbilt University,36.1447034,-86.8026551,"6'11""",11.2
314,314,Jalen Jones,26,"Dallas, TX",USA,,,Texas A&M University,30.6187558,-96.33647719999999,"6'7""",8.299999999999999
316,316,Terrence Jones,28,"Portland, OR",USA,,,University of Kentucky,38.0306511,-84.5039697,,3.0
317,317,Tyus Jones,23,"Burnsville, MN",USA,,,Duke University,36.0014258,-78.9382286,"6'0""",14.999999999999998
318,318,Derrick Jones Jr.,23,"Chester, PA",USA,,,"University of Nevada, Las Vegas",36.1085197,-115.1431709,"6'6""",13.1
319,319,DeAndre Jordan,31,"Houston, TX",USA,,,Texas A&M University,30.6187558,-96.33647719999999,"6'11""",28.4
320,320,DeAndre Jordan,31,"Houston, TX",USA,,,Texas A&M University,30.6187558,-96.33647719999999,"6'11""",26.800000000000004
321,321,Cory Joseph,28,Toronto,Canada,,,University of Texas at Austin,30.2849185,-97.7340567,"6'3""",15.2
322,322,Frank Kaminsky,27,"Winfield, IL",USA,,,University of Wisconsin,43.076592,-89.4124875,"7'0""",14.000000000000002
325,325,Luke Kennard,23,"Middletown, OH",USA,,,Duke University,36.0014258,-78.9382286,"6'5""",14.9
326,326,Michael Kidd-Gilchrist,26,"Philadelphia, PA",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'6""",12.6
329,329,Brandon Knight,28,"Miami, FL",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'2""",4.8
330,330,Brandon Knight,28,"Miami, FL",USA,,,University of Kentucky,38.0306511,-84.5039697,"6'2""",13.499999999999998
333,333,Luke Kornet,24,"Lantana, TX",USA,,,Vanderbilt University,36.1447034,-86.8026551,"7'2""",12.6
334,334,Kyle Korver,39,"Lakewood, CA",USA,,,Creighton University,41.2655521,-95.94638619999999,"6'7""",9.999999999999998
335,335,Kyle Korver,39,"Lakewood, CA",USA,,,Creighton University,41.2655521,-95.94638619999999,"6'7""",13.4
