,Name,Age,Position,Points
837,Mikko Rantanen,23,RW,87
839,Victor Rask,27,C,6
840,Victor Rask,27,C,3
841,Michael Rasmussen,21,C,18
842,Ty Rattie,27,RW,11
843,Kyle Rau,27,C,1
844,Matt Read,33,RW,1
845,Ryan Reaves,33,RW,20
846,Mike Reilly,26,D,11
848,Sam Reinhart,24,C,68
849,Sheldon Rempal,24,RW,0
850,Anthony Richard,23,C,0
851,Brad Richardson,35,RW,27
852,Tobias Rieder,27,RW,11
853,Morgan Rielly,26,D,72
854,Juuso Riikola,26,D,5
855,Zac Rinaldo,29,LW,3
857,Rasmus Ristolainen,25,D,45
858,Brett Ritchie,26,RW,6
859,Nick Ritchie,24,LW,32
861,Eric Robinson,24,LW,0
862,Jack Rodewald,26,RW,0
863,Evan Rodrigues,26,LW,29
864,Kevin Rooney,26,C,11
865,Calle Rosen,26,D,1
866,Jack Roslovic,23,C,24
867,Antoine Roussel,30,LW,31
868,Carter Rowney,30,RW,22
869,Kevin Roy,26,LW,0
870,Matt Roy,25,LW,8
871,Nicolas Roy,23,C,0
872,Chad Ruhwedel,29,D,2
873,Kris Russell,32,D,16
874,Patrick Russell,27,RW,0
875,Bryan Rust,27,RW,35
876,Jan Rutta,29,D,6
877,Jan Rutta,29,D,2
878,Bobby Ryan,33,RW,42
879,Derek Ryan,33,C,38
880,Joakim Ryan,26,D,8
881,Kerby Rychel,25,LW,0
882,Brandon Saad,27,LW,48
883,Miikka Salomaki,27,RW,8
884,Zach Sanford,25,LW,20
885,Travis Sanheim,24,D,35
886,Steven Santini,25,D,4
888,Ashton Sautner,25,D,1
889,David Savard,29,D,26
890,Luca Sbisa,30,D,1
891,Marco Scandella,30,D,13
892,Colton Sceviour,30,C,15
893,Tim Schaller,29,C,10
894,Mark Scheifele,27,C,86
