,Name,Birth City,Birth Country,Birth Lat,Birth Lng,College,College Lat,College Lng
383,Anthony-John Greer,"Joliette, QC",Canada,,,,,
384,Thomas Greiss,Fussen,Germany,,,,,
385,Rocco Grimaldi,"Anaheim, CA",USA,,,,,
386,Philipp Grubauer,Rosenheim,Germany,,,,,
387,Carl Grundstrom,Umea,Sweden,,,,,
388,Eric Gryba,"Saskatoon, SK",Canada,,,,,
389,Matt Grzelcyk,"Charlestown, MA",USA,,,,,
390,Radko Gudas,Prague,Czech Republic,,,,,
391,Erik Gudbranson,"Ottawa, ON",Canada,,,,,
392,Erik Gudbranson,"Ottawa, ON",Canada,,,,,
393,Jake Guentzel,"Omaha, NE",USA,,,,,
394,Brendan Guhle,"Edmonton, AB",USA,,,,,
395,Brendan Guhle,"Edmonton, AB",USA,,,,,
396,Carl Gunnarsson,Orebro,Sweden,,,,,
397,Denis Gurianov,Togliatti,Russia,,,,,
398,Erik Gustafsson,Nynashamn,Sweden,,,,,
399,Carl Hagelin,Sodertalje,Sweden,,,,,
400,Carl Hagelin,Sodertalje,Sweden,,,,,
401,Carl Hagelin,Sodertalje,Sweden,,,,,
402,Robert Hagg,Uppsala,Sweden,,,,,
403,Ron Hainsey,"Bolton, CT",USA,,,,,
404,Libor Hajek,Smrcek,Czech Republic,,,,,
405,Jaroslav Halak,Bratislava,SVK,,,,,
406,Micheal Haley,"Guelph, ON",Canada,,,,,
407,Micheal Haley,"Guelph, ON",Canada,,,,,
408,Taylor Hall,"Calgary, AB",Canada,,,,,
409,Dan Hamhuis,"Smithers, BC",Canada,,,,,
410,Dougie Hamilton,"Toronto, ON",Canada,,,,,
411,Travis Hamonic,"St. Malo, MB",Canada,,,,,
412,Noah Hanifin,"Boston, MA",USA,,,,,
413,Joel Hanley,"Keswick, ON",Canada,,,,,
414,Markus Hannikainen,Helsinki,Finland,,,,,
415,Martin Hanzal,Pisek,Czech Republic,,,,,
416,Ben Harpur,"Hamilton, ON",Canada,,,,,
417,Scott Harrington,"Kingston, ON",Canada,,,,,
418,Carter Hart,"Sherwood Park, AB",Canada,,,,,
419,Ryan Hartman,"Hilton Head Isl., SC",USA,,,,,
420,Ryan Hartman,"Hilton Head Isl., SC",USA,,,,,
421,Garnet Hathaway,"Kennebunkport, ME",USA,,,,,
422,Erik Haula,Pori,Finland,,,,,
423,Jayce Hawryluk,"Yorkton, SK",Canada,,,,,
424,John Hayden,"Chicago, IL",USA,,,,,
425,Kevin Hayes,"Dorchester, MA",USA,,,,,
426,Kevin Hayes,"Dorchester, MA",USA,,,,,
427,Dillon Heatherington,"Calgary, AB",Canada,,,,,
428,Victor Hedman,Ornskoldsvik,Sweden,,,,,
429,Tim Heed,Gothenburg,Sweden,,,,,
430,Danton Heinen,"Langley, BC",Canada,,,,,
