,name,college,lat,lng
405,Sam Bowie,University of Kentucky,38.0306511,-84.5039697
406,Orbie Bowling,University of Tennessee,35.9544013,-83.92945639999999
407,Ira Bowman,University of Pennsylvania,39.9522188,-75.1932137
408,Nate Bowman,Wichita State University,37.7186367,-97.29414140000002
409,Donnie Boyce,University of Colorado,40.00758099999999,-105.2659417
410,Dennis Boyd,University of Detroit Mercy,42.4141556,-83.1379932
411,Freddie Boyd,Oregon State University,44.5637806,-123.2794443
412,Ken Boyd,Boston University,42.3504997,-71.1053991
413,Earl Boykins,Eastern Michigan University,42.2506803,-83.624089
414,Harry Boykoff,St. John's University,40.7220627,-73.79421119999999
415,Winford Boynes,University of San Francisco,37.7765643,-122.4507187
416,Cedric Bozeman,"University of California, Los Angeles",34.068921,-118.4451811
417,Steve Bracey,University of Tulsa,36.1520526,-95.94607529999999
418,Craig Brackins,Iowa State University,42.0266187,-93.6464654
419,Gary Bradds,Ohio State University,40.0068363,-83.0306222
420,Alex Bradley,Villanova University,40.0378952,-75.34333149999999
421,Alonzo Bradley,Texas Southern University,29.7214214,-95.35926909999999
422,Avery Bradley,University of Texas at Austin,30.2849185,-97.7340567
424,Bill Bradley,Princeton University,40.3430942,-74.65507389999999
425,Charles Bradley,University of Wyoming,41.3148754,-105.5665744
426,Dudley Bradley,University of North Carolina,35.9049122,-79.0469134
427,Jim Bradley,Northern Illinois University,41.934233,-88.774069
428,Joe Bradley,Oklahoma State University,36.1270236,-97.07372219999999
429,Michael Bradley,Villanova University,40.0378952,-75.34333149999999
430,Shawn Bradley,Brigham Young University,40.2518435,-111.6493156
431,Tony Bradley,University of North Carolina,35.9049122,-79.0469134
433,Marques Bragg,Providence College,41.8440925,-71.4381653
434,Torraye Braggs,Xavier University,39.149448,-84.47363740000002
435,A.J. Bramlett,University of Arizona,32.2318851,-110.9501094
436,Adrian Branch,University of Maryland,38.9869183,-76.9425543
437,Elton Brand,Duke University,36.0014258,-78.9382286
438,Terrell Brandon,University of Oregon,44.0448302,-123.0726055
439,Bob Brannum,Michigan State University,42.701848,-84.4821719
440,Brad Branson,Southern Methodist University,32.8412178,-96.78451749999999
441,Jesse Branson,Elon University,36.1026877,-79.5023313
442,Jim Brasco,New York University,40.72951339999999,-73.9964609
443,Mike Bratz,Stanford University,37.4274745,-122.169719
444,Carl Braun,Colgate University,42.822465,-75.541671
445,Tim Breaux,University of Wyoming,41.3148754,-105.5665744
446,J.R. Bremer,St. Bonaventure University,42.0794875,-78.48427029999999
447,Pete Brennan,University of North Carolina,35.9049122,-79.0469134
448,Tom Brennan,Villanova University,40.0378952,-75.34333149999999
449,Randy Breuer,University of Minnesota,44.97399,-93.2277285
450,Corey Brewer,University of Florida,29.6436325,-82.3549302
451,Jamison Brewer,Auburn University,32.5933574,-85.4951663
452,Jim Brewer,University of Minnesota,44.97399,-93.2277285
453,Ron Brewer,University of Arkansas,36.0686895,-94.1748471
454,Ronnie Brewer,University of Arkansas,36.0686895,-94.1748471
456,Frankie Brian,Louisiana State University,30.4132579,-91.1800023
457,Frank Brickowski,Pennsylvania State University,40.7982133,-77.8599084
458,Junior Bridgeman,University of Louisville,38.2122761,-85.75850229999999
459,Bill Bridges,University of Kansas,38.9543439,-95.2557961
460,Al Brightman,University of Charleston,38.3327567,-81.6159277
461,Aud Brindley,Dartmouth College,43.7044406,-72.2886935
462,John Brisker,University of Toledo,41.6578804,-83.6142374
463,Allan Bristow,Virginia Polytechnic Institute and State University,37.22838429999999,-80.42341669999999
464,Tyrone Britt,Johnson C. Smith University,35.2433851,-80.85579349999999
465,Wayman Britt,University of Michigan,42.2780436,-83.7382241
466,Mike Brittain,University of South Carolina,33.9937575,-81.0299186
467,Dave Britton,Texas A&M University,30.6187558,-96.33647719999999
468,Jon Brockman,University of Washington,47.6912794,-122.3176141
469,Jim Brogan,West Virginia Wesleyan College,38.990005,-80.2196586
470,Malcolm Brogdon,University of Virginia,38.0335529,-78.5079772
471,Gary Brokaw,University of Notre Dame,41.7055716,-86.2353388
472,Price Brookfield,West Texas A&M University,34.9816909,-101.9160329
473,Clarence Brookins,Temple University,39.9805942,-75.1557376
474,Aaron Brooks,University of Oregon,44.0448302,-123.0726055
